material_id,material_description,common_id1,primary_material_weight_g,comment,invoice_paid_date,year
MAT-20059,Stainless Steel Reactor Component,CID-0524,1726.27,confirmed 2025 review,2025-06-28,2024
MAT-20060,Filling Line Spare Parts,CID-0513,4903.89,,2026-07-08,2025
MAT-20061,HPLC Consumable Kit,CID-0501,219.19,confirmed 2025 review,2026-07-13,2026
MAT-20062,Lab Reagent Kit,CID-0525,3962.18,,2025-01-05,2026
MAT-20063,Single-use Bioreactor Bag,CID-0529,4826.8,legacy mapping,2024-08-04,2026
MAT-20064,Comparator Drug Batch,CID-0510,4552.3,,2026-03-14,2026
MAT-20065,Clinical Trial Kit,CID-0532,4849.81,,2025-05-11,2026
MAT-20066,Ibuprofen API,CID-0530,3463.83,,2025-11-28,2026
MAT-20067,Recombinant Protein Concentrate,CID-0504,1900.67,legacy mapping,2026-12-25,2025
MAT-20068,Synthetic Peptide Concentrate,CID-0521,4362.04,,2026-02-08,2026
MAT-20069,Microcrystalline Cellulose,CID-0503,3422.31,legacy mapping,2024-12-03,2025
MAT-20070,Film Coating Powder,CID-0508,4891.71,,2025-03-23,2025
MAT-20071,Sodium Benzoate,CID-0523,4517.22,,2025-01-10,2025
MAT-20072,Ethanol (Pharma Grade),CID-0518,1874.83,,2024-09-14,2026
MAT-20073,Water for Injection,CID-0502,3409.32,,2024-03-03,2026
MAT-20074,Glass Vial 2ml,CID-0514,4354.33,,2025-10-05,2024
MAT-20075,PVC Blister Pack,CID-0505,2306.29,legacy mapping,2025-05-22,2024
MAT-20076,Prefilled Syringe 1ml,CID-0522,4494.64,confirmed 2025 review,2025-11-18,2024
MAT-20077,HDPE Bottle 100ml,CID-0506,370.24,legacy mapping,2026-05-21,2025
MAT-20078,Folding Carton,CID-0507,3451.88,confirmed 2025 review,2025-04-13,2025
MAT-20079,Patient Information Leaflet,CID-0516,534.16,confirmed 2025 review,2026-06-19,2025
MAT-20080,Pressure-sensitive Label,CID-0515,4963.47,legacy mapping,2024-11-13,2025
MAT-20081,Corrugated Shipping Case,CID-0528,41.48,,2026-12-16,2025
MAT-20082,Stretch Pallet Wrap,CID-0520,3878.93,,2026-06-08,2026
MAT-20083,Fermentation Batch Service,CID-0511,951.47,legacy mapping,2026-12-25,2026
MAT-20084,Custom Synthesis Batch,CID-0531,3404.59,,2026-02-21,2026
MAT-20085,Aseptic Fill & Finish Service,CID-0512,198.07,confirmed 2025 review,2024-10-12,2026
MAT-20086,Contract Packaging Service,CID-0519,657.93,legacy mapping,2025-12-14,2024
MAT-20087,Inbound Road Freight - Pallet,CID-0527,1004.77,legacy mapping,2026-09-09,2024
MAT-20088,Inbound Air Freight - Temperature Controlled,CID-0500,1285.59,confirmed 2025 review,2025-12-28,2025
MAT-20089,Inbound Ocean Freight - Container,CID-0517,4021.36,confirmed 2025 review,2024-03-25,2024
MAT-20090,Cold Chain Transport - 2-8C,CID-0526,4300.84,confirmed 2025 review,2026-06-03,2025
MAT-20091,Cold Storage - Warehouse Pallet Slot,CID-0509,70.58,,2025-06-22,2026
MAT-20092,Stainless Steel Reactor Component,CID-0524,3362.03,confirmed 2025 review,2026-06-04,2026
MAT-20093,Filling Line Spare Parts,CID-0513,1169.88,,2026-09-11,2026
MAT-20094,HPLC Consumable Kit,CID-0501,1107.61,,2026-08-23,2025
MAT-20095,Lab Reagent Kit,CID-0525,3246.55,,2024-01-02,2025
MAT-20096,Pipette Tips (case),CID-0529,4979.64,,2024-04-18,2024
MAT-20097,Comparator Drug Batch,CID-0510,1943.84,legacy mapping,2026-12-23,2026
MAT-20098,Clinical Trial Kit,CID-0532,2096.21,,2025-11-04,2025
MAT-20099,Ibuprofen API,CID-0530,3078.65,legacy mapping,2024-12-12,2024
MAT-20100,Recombinant Protein Concentrate,CID-0504,2217.47,,2025-02-22,2025
MAT-20101,Synthetic Peptide Concentrate,CID-0521,2722.78,legacy mapping,2024-07-09,2024
MAT-20102,Lactose Monohydrate,CID-0503,4841.07,confirmed 2025 review,2024-11-07,2026
MAT-20103,Enteric Coating Blend,CID-0508,3197.83,,2024-06-08,2024
MAT-20104,Sodium Benzoate,CID-0523,3935.1,,2024-09-07,2026
MAT-20105,Isopropyl Alcohol,CID-0518,1080.54,,2025-03-26,2026
MAT-20106,Water for Injection,CID-0502,15.17,,2024-09-09,2024
MAT-20107,Freeze-dried Vaccine Vial,CID-0514,550.52,,2024-01-12,2024
MAT-20108,Alu-Alu Blister Pack,CID-0505,2944.68,,2024-05-02,2024
MAT-20109,Prefilled Syringe 2.25ml,CID-0522,3708.85,,2026-02-16,2025
MAT-20110,HDPE Bottle 250ml,CID-0506,3890.31,,2025-09-08,2026
MAT-20111,Corrugated Shipping Box,CID-0507,217.78,legacy mapping,2025-11-01,2024
MAT-20112,Patient Information Leaflet,CID-0516,4992.94,confirmed 2025 review,2025-11-04,2025
MAT-20113,Pressure-sensitive Label,CID-0515,3562.29,confirmed 2025 review,2024-02-11,2026
MAT-20114,Reusable Shipping Tote,CID-0528,742.52,,2025-10-21,2026
MAT-20115,Stretch Pallet Wrap,CID-0520,2742.23,legacy mapping,2025-10-17,2025
MAT-20116,Fermentation Batch Service,CID-0511,2269.12,confirmed 2025 review,2024-12-04,2026
MAT-20117,Custom Synthesis Batch,CID-0531,3254.93,,2025-08-08,2025
MAT-20118,Aseptic Fill & Finish Service,CID-0512,1695.32,confirmed 2025 review,2025-07-24,2024
MAT-20119,Contract Packaging Service,CID-0519,1563.43,legacy mapping,2026-05-12,2024
MAT-20120,Inbound Road Freight - Pallet,CID-0527,3434.42,confirmed 2025 review,2024-02-27,2024
MAT-20121,Inbound Air Freight - Temperature Controlled,CID-0500,467.06,,2026-12-12,2024
MAT-20122,Inbound Ocean Freight - Container,CID-0517,2782.3,legacy mapping,2026-02-14,2025
MAT-20123,Cold Chain Transport - 2-8C,CID-0526,4368.16,confirmed 2025 review,2026-01-10,2026
MAT-20124,Cold Storage - Warehouse Pallet Slot,CID-0509,1562.93,,2026-09-07,2024
MAT-20125,Stainless Steel Reactor Component,CID-0524,3284.02,,2024-06-28,2026
MAT-20126,Filling Line Spare Parts,CID-0513,1838.44,legacy mapping,2026-04-26,2025
MAT-20127,HPLC Consumable Kit,CID-0501,4225.93,,2026-11-27,2026
MAT-20128,Lab Reagent Kit,CID-0525,1337.97,,2025-12-25,2025
MAT-20129,Pipette Tips (case),CID-0529,4607.77,legacy mapping,2024-03-28,2024
MAT-20130,Comparator Drug Batch,CID-0510,2832.04,confirmed 2025 review,2024-03-24,2026
MAT-20131,Clinical Trial Kit,CID-0532,4859.08,,2026-09-07,2025
MAT-20132,Paracetamol API,CID-0530,2099.74,legacy mapping,2024-06-10,2026
MAT-20133,Monoclonal Antibody Bulk,CID-0504,1622.59,,2024-03-06,2026
MAT-20134,Synthetic Peptide Concentrate,CID-0521,249.76,,2025-08-22,2025
MAT-20135,Microcrystalline Cellulose,CID-0503,2428.82,confirmed 2025 review,2025-05-07,2026
MAT-20136,Enteric Coating Blend,CID-0508,569.97,confirmed 2025 review,2024-05-22,2026
MAT-20137,Methylparaben,CID-0523,2966.08,legacy mapping,2024-04-13,2026
MAT-20138,Isopropyl Alcohol,CID-0518,274.86,,2025-04-25,2024
MAT-20139,Water for Injection,CID-0502,3821.04,legacy mapping,2025-02-01,2025
MAT-20140,Freeze-dried Vaccine Vial,CID-0514,3735.32,,2024-07-18,2026
MAT-20141,Alu-Alu Blister Pack,CID-0505,1151.32,legacy mapping,2024-07-28,2026
MAT-20142,Prefilled Syringe 1ml,CID-0522,212.47,,2025-02-28,2025
MAT-20143,HDPE Bottle 250ml,CID-0506,2879.22,confirmed 2025 review,2026-11-14,2025
MAT-20144,Folding Carton,CID-0507,576.75,,2025-03-26,2026
MAT-20145,Patient Information Leaflet,CID-0516,2301.02,legacy mapping,2024-07-28,2024
MAT-20146,Pressure-sensitive Label,CID-0515,1217.34,confirmed 2025 review,2026-02-13,2025
MAT-20147,Reusable Shipping Tote,CID-0528,3729.28,,2025-03-03,2026
MAT-20148,Stretch Pallet Wrap,CID-0520,3166.49,,2025-06-24,2026
MAT-20149,Fermentation Batch Service,CID-0511,4075.37,,2024-03-09,2024
MAT-29000,Background Material,CID-0500,868.32,,2026-02-06,2026
MAT-29001,Background Material,CID-0501,2471.09,confirmed 2025 review,2026-10-21,2026
MAT-29002,Background Material,CID-0502,4932.67,legacy mapping,2026-06-05,2025
MAT-29003,Background Material,CID-0503,342.36,confirmed 2025 review,2026-05-26,2025
MAT-29004,Background Material,CID-0504,2957.51,legacy mapping,2026-02-10,2025
MAT-29005,Background Material,CID-0505,2260.12,,2025-05-03,2026
MAT-29006,Background Material,CID-0506,4321.39,,2026-10-17,2025
MAT-29007,Background Material,CID-0507,2314.1,,2025-10-21,2024
MAT-29008,Background Material,CID-0508,1608.31,confirmed 2025 review,2026-03-02,2025
MAT-29009,Background Material,CID-0509,518.41,legacy mapping,2026-02-17,2026
MAT-29010,Background Material,CID-0510,863.62,,2026-08-15,2026
MAT-29011,Background Material,CID-0511,2614.22,,2025-06-10,2025
MAT-29012,Background Material,CID-0512,2044.44,legacy mapping,2026-10-02,2026
MAT-29013,Background Material,CID-0513,3236.88,,2025-02-18,2026
MAT-29014,Background Material,CID-0514,1933.43,legacy mapping,2026-11-20,2024
MAT-29015,Background Material,CID-0515,1667.48,,2025-05-21,2026
MAT-29016,Background Material,CID-0516,3311.01,,2026-12-03,2025
MAT-29017,Background Material,CID-0517,2795.05,legacy mapping,2024-11-23,2026
MAT-29018,Background Material,CID-0518,4985.82,,2026-11-14,2026
MAT-29019,Background Material,CID-0519,1809.78,legacy mapping,2025-03-07,2025
MAT-29020,Background Material,CID-0520,4738.39,confirmed 2025 review,2024-04-05,2024
MAT-29021,Background Material,CID-0521,386.75,,2026-09-27,2026
MAT-29022,Background Material,CID-0522,4418.53,,2026-06-25,2026
MAT-29023,Background Material,CID-0523,656.11,confirmed 2025 review,2024-03-06,2026
MAT-29024,Background Material,CID-0524,3855.72,,2026-08-02,2025
MAT-29025,Background Material,CID-0525,1822.13,,2025-10-10,2026
MAT-29026,Background Material,CID-0526,3919.22,,2026-04-10,2025
MAT-29027,Background Material,CID-0527,4519.97,,2025-11-19,2025
MAT-29028,Background Material,CID-0528,2308.94,legacy mapping,2025-09-17,2025
MAT-29029,Background Material,CID-0529,4831.37,,2026-03-28,2025
MAT-29030,Background Material,CID-0530,261.85,confirmed 2025 review,2025-09-04,2026
MAT-29031,Background Material,CID-0531,4229.62,,2025-02-25,2024
MAT-29032,Background Material,CID-0532,1364.68,,2025-02-08,2025
MAT-29033,Background Material,CID-0500,4423.26,,2025-01-13,2026
MAT-29034,Background Material,CID-0501,1870.43,confirmed 2025 review,2024-06-08,2024
MAT-29035,Background Material,CID-0502,1594.11,,2026-11-11,2024
MAT-29036,Background Material,CID-0503,688.86,legacy mapping,2025-12-27,2024
MAT-29037,Background Material,CID-0504,3794.45,confirmed 2025 review,2025-10-01,2024
MAT-29038,Background Material,CID-0505,96.0,,2024-09-24,2026
MAT-29039,Background Material,CID-0506,2639.33,,2025-04-10,2024
MAT-29040,Background Material,CID-0507,239.7,confirmed 2025 review,2026-10-15,2024
MAT-29041,Background Material,CID-0508,555.18,confirmed 2025 review,2026-09-01,2026
MAT-29042,Background Material,CID-0509,2577.36,,2026-03-10,2025
MAT-29043,Background Material,CID-0510,8.82,legacy mapping,2024-10-14,2024
MAT-29044,Background Material,CID-0511,3322.19,,2026-06-03,2026
MAT-29045,Background Material,CID-0512,2720.87,,2025-08-02,2026
MAT-29046,Background Material,CID-0513,1935.02,legacy mapping,2025-12-01,2025
MAT-29047,Background Material,CID-0514,3942.81,legacy mapping,2024-12-22,2026
MAT-29048,Background Material,CID-0515,519.22,legacy mapping,2024-01-12,2026
MAT-29049,Background Material,CID-0516,1693.4,,2026-08-23,2025
MAT-29050,Background Material,CID-0517,3159.05,,2024-12-25,2025
MAT-29051,Background Material,CID-0518,185.88,,2024-04-02,2025
MAT-29052,Background Material,CID-0519,4666.92,confirmed 2025 review,2026-08-09,2024
MAT-29053,Background Material,CID-0520,3766.7,,2025-06-28,2024
MAT-29054,Background Material,CID-0521,4329.13,legacy mapping,2025-02-26,2025
MAT-29055,Background Material,CID-0522,2185.32,confirmed 2025 review,2026-08-13,2025
MAT-29056,Background Material,CID-0523,4868.64,confirmed 2025 review,2026-08-12,2026
MAT-29057,Background Material,CID-0524,1334.34,,2026-07-03,2025
MAT-29058,Background Material,CID-0525,3012.66,,2026-05-11,2024
MAT-29059,Background Material,CID-0526,401.26,legacy mapping,2025-08-20,2026
MAT-29060,Background Material,CID-0527,2131.15,confirmed 2025 review,2025-08-02,2026
MAT-29061,Background Material,CID-0528,4350.32,legacy mapping,2026-07-09,2026
MAT-29062,Background Material,CID-0529,4900.16,,2024-11-21,2025
MAT-29063,Background Material,CID-0530,1817.19,,2024-03-28,2026
MAT-29064,Background Material,CID-0531,3390.77,confirmed 2025 review,2024-03-03,2024
MAT-29065,Background Material,CID-0532,3892.8,legacy mapping,2025-07-19,2024
MAT-29066,Background Material,CID-0500,3025.87,confirmed 2025 review,2025-06-15,2024
MAT-29067,Background Material,CID-0501,2870.03,legacy mapping,2025-06-21,2025
MAT-29068,Background Material,CID-0502,1248.81,,2024-12-06,2025
MAT-29069,Background Material,CID-0503,2589.21,,2025-05-23,2025
MAT-29070,Background Material,CID-0504,1073.64,legacy mapping,2026-08-07,2024
MAT-29071,Background Material,CID-0505,679.51,,2025-03-23,2025
MAT-29072,Background Material,CID-0506,4986.31,legacy mapping,2026-06-23,2024
MAT-29073,Background Material,CID-0507,2750.44,legacy mapping,2025-03-23,2026
MAT-29074,Background Material,CID-0508,4636.69,,2025-09-08,2024
MAT-29075,Background Material,CID-0509,4925.68,,2024-08-01,2025
MAT-29076,Background Material,CID-0510,2770.55,legacy mapping,2025-09-05,2026
MAT-29077,Background Material,CID-0511,4421.35,,2025-07-23,2026
MAT-29078,Background Material,CID-0512,2393.85,confirmed 2025 review,2025-10-03,2024
MAT-29079,Background Material,CID-0513,4861.93,,2025-08-22,2026
MAT-29080,Background Material,CID-0514,1723.23,,2024-07-17,2024
MAT-29081,Background Material,CID-0515,4157.12,,2025-03-06,2025
MAT-29082,Background Material,CID-0516,4673.75,,2025-09-10,2024
MAT-29083,Background Material,CID-0517,1253.78,legacy mapping,2024-11-10,2026
MAT-29084,Background Material,CID-0518,2667.86,,2026-10-05,2024
MAT-29085,Background Material,CID-0519,3294.01,legacy mapping,2026-01-27,2024
MAT-29086,Background Material,CID-0520,407.03,legacy mapping,2026-04-25,2026
MAT-29087,Background Material,CID-0521,2083.52,,2025-11-18,2025
MAT-29088,Background Material,CID-0522,3209.89,legacy mapping,2025-04-26,2026
MAT-29089,Background Material,CID-0523,2031.06,confirmed 2025 review,2024-12-02,2024
MAT-29090,Background Material,CID-0524,2198.59,confirmed 2025 review,2025-04-11,2026
MAT-29091,Background Material,CID-0525,719.2,legacy mapping,2026-06-13,2024
MAT-29092,Background Material,CID-0526,3803.56,,2025-04-15,2024
MAT-29093,Background Material,CID-0527,1338.09,,2024-02-02,2025
MAT-29094,Background Material,CID-0528,4726.98,confirmed 2025 review,2024-03-27,2025
MAT-29095,Background Material,CID-0529,4668.82,legacy mapping,2024-03-16,2026
MAT-29096,Background Material,CID-0530,2334.61,legacy mapping,2025-01-03,2025
MAT-29097,Background Material,CID-0531,2527.72,,2024-10-12,2024
MAT-29098,Background Material,CID-0532,253.65,confirmed 2025 review,2026-11-22,2025
MAT-29099,Background Material,CID-0500,1429.46,,2024-07-05,2025
MAT-29100,Background Material,CID-0501,3637.81,confirmed 2025 review,2025-01-13,2024
MAT-29101,Background Material,CID-0502,2851.84,,2025-09-10,2024
MAT-29102,Background Material,CID-0503,1932.36,confirmed 2025 review,2026-05-27,2026
MAT-29103,Background Material,CID-0504,3402.31,,2024-02-13,2025
MAT-29104,Background Material,CID-0505,3974.69,legacy mapping,2026-06-25,2024
MAT-29105,Background Material,CID-0506,996.09,confirmed 2025 review,2026-01-02,2024
MAT-29106,Background Material,CID-0507,686.04,legacy mapping,2025-09-15,2024
MAT-29107,Background Material,CID-0508,3031.7,,2025-10-11,2024
MAT-29108,Background Material,CID-0509,1965.38,legacy mapping,2026-06-17,2026
MAT-29109,Background Material,CID-0510,2662.17,legacy mapping,2025-01-12,2025
MAT-29110,Background Material,CID-0511,3369.36,confirmed 2025 review,2026-05-26,2026
MAT-29111,Background Material,CID-0512,4360.62,,2026-08-09,2026
MAT-29112,Background Material,CID-0513,3914.74,,2026-01-19,2025
MAT-29113,Background Material,CID-0514,853.39,confirmed 2025 review,2024-11-08,2024
MAT-29114,Background Material,CID-0515,2863.28,,2024-01-15,2025
MAT-29115,Background Material,CID-0516,2094.48,confirmed 2025 review,2026-04-14,2026
MAT-29116,Background Material,CID-0517,3875.09,confirmed 2025 review,2026-12-02,2026
MAT-29117,Background Material,CID-0518,691.27,,2026-06-22,2025
MAT-29118,Background Material,CID-0519,2627.86,legacy mapping,2024-08-18,2025
MAT-29119,Background Material,CID-0520,2731.82,legacy mapping,2026-08-07,2024
MAT-29120,Background Material,CID-0521,1395.75,legacy mapping,2024-05-25,2025
MAT-29121,Background Material,CID-0522,3524.8,confirmed 2025 review,2025-08-12,2026
MAT-29122,Background Material,CID-0523,4668.57,legacy mapping,2025-02-19,2026
MAT-29123,Background Material,CID-0524,2716.41,confirmed 2025 review,2025-03-10,2024
MAT-29124,Background Material,CID-0525,1438.86,,2025-08-21,2025
MAT-29125,Background Material,CID-0526,3736.95,,2024-09-09,2026
MAT-29126,Background Material,CID-0527,3481.16,,2024-10-24,2026
MAT-29127,Background Material,CID-0528,1197.17,,2026-09-08,2026
MAT-29128,Background Material,CID-0529,1164.95,,2025-06-23,2025
MAT-29129,Background Material,CID-0530,503.62,,2024-09-06,2025
MAT-29130,Background Material,CID-0531,3264.81,confirmed 2025 review,2025-11-07,2025
MAT-29131,Background Material,CID-0532,1606.52,,2024-11-19,2024
MAT-29132,Background Material,CID-0500,2676.23,,2024-07-27,2024
MAT-29133,Background Material,CID-0501,4669.68,,2025-08-06,2026
MAT-29134,Background Material,CID-0502,4810.69,legacy mapping,2024-01-10,2026
MAT-29135,Background Material,CID-0503,3014.31,legacy mapping,2025-08-21,2026
MAT-29136,Background Material,CID-0504,2622.07,,2026-08-09,2024
MAT-29137,Background Material,CID-0505,4044.26,legacy mapping,2024-12-15,2026
MAT-29138,Background Material,CID-0506,1287.07,,2024-12-11,2025
MAT-29139,Background Material,CID-0507,2839.34,,2024-10-28,2026
MAT-29140,Background Material,CID-0508,4485.32,confirmed 2025 review,2026-06-03,2025
MAT-29141,Background Material,CID-0509,3346.61,,2024-08-11,2024
MAT-29142,Background Material,CID-0510,35.14,confirmed 2025 review,2024-08-25,2025
MAT-29143,Background Material,CID-0511,4770.22,legacy mapping,2026-12-19,2024
MAT-29144,Background Material,CID-0512,1308.5,legacy mapping,2026-04-02,2026
MAT-29145,Background Material,CID-0513,592.01,legacy mapping,2024-07-22,2026
MAT-29146,Background Material,CID-0514,4615.61,legacy mapping,2026-02-21,2025
MAT-29147,Background Material,CID-0515,1838.35,,2024-03-16,2024
MAT-29148,Background Material,CID-0516,2275.44,legacy mapping,2025-12-18,2025
MAT-29149,Background Material,CID-0517,3787.0,,2024-11-25,2026
MAT-29150,Background Material,CID-0518,4365.8,,2026-08-17,2026
MAT-29151,Background Material,CID-0519,1809.56,,2024-09-17,2024
MAT-29152,Background Material,CID-0520,2863.94,,2024-06-28,2026
MAT-29153,Background Material,CID-0521,2209.76,,2026-10-16,2024
MAT-29154,Background Material,CID-0522,4494.55,confirmed 2025 review,2024-08-05,2026
MAT-29155,Background Material,CID-0523,2077.71,,2026-08-22,2025
MAT-29156,Background Material,CID-0524,3616.68,confirmed 2025 review,2025-01-24,2024
MAT-29157,Background Material,CID-0525,2891.98,,2025-06-23,2024
MAT-29158,Background Material,CID-0526,2706.28,,2024-08-02,2025
MAT-29159,Background Material,CID-0527,2044.93,,2026-12-21,2025
MAT-29160,Background Material,CID-0528,1872.93,confirmed 2025 review,2025-07-13,2024
MAT-29161,Background Material,CID-0529,3413.97,,2026-06-04,2024
MAT-29162,Background Material,CID-0530,4964.24,confirmed 2025 review,2026-03-24,2024
MAT-29163,Background Material,CID-0531,4174.27,,2025-08-22,2026
MAT-29164,Background Material,CID-0532,2722.68,confirmed 2025 review,2024-04-15,2025
MAT-29165,Background Material,CID-0500,776.45,,2026-02-02,2026
MAT-29166,Background Material,CID-0501,2096.78,,2024-04-03,2024
MAT-29167,Background Material,CID-0502,2970.13,confirmed 2025 review,2026-11-23,2024
MAT-29168,Background Material,CID-0503,1224.43,,2025-08-08,2026
MAT-29169,Background Material,CID-0504,1087.13,,2024-09-10,2024
MAT-29170,Background Material,CID-0505,4079.12,legacy mapping,2026-10-25,2026
MAT-29171,Background Material,CID-0506,4092.09,,2025-03-22,2026
MAT-29172,Background Material,CID-0507,1105.99,legacy mapping,2025-01-18,2026
MAT-29173,Background Material,CID-0508,4398.69,,2026-11-14,2026
MAT-29174,Background Material,CID-0509,2478.61,legacy mapping,2026-11-13,2026
MAT-29175,Background Material,CID-0510,1594.35,confirmed 2025 review,2025-03-10,2025
MAT-29176,Background Material,CID-0511,920.21,confirmed 2025 review,2024-04-10,2026
MAT-29177,Background Material,CID-0512,722.61,confirmed 2025 review,2024-09-14,2025
MAT-29178,Background Material,CID-0513,2786.88,,2025-04-09,2024
MAT-29179,Background Material,CID-0514,1651.98,,2025-06-03,2026
MAT-29180,Background Material,CID-0515,3623.2,,2024-05-13,2026
MAT-29181,Background Material,CID-0516,3025.24,,2024-04-26,2026
MAT-29182,Background Material,CID-0517,3621.8,,2025-04-28,2025
MAT-29183,Background Material,CID-0518,1516.64,,2024-04-24,2024
MAT-29184,Background Material,CID-0519,3734.65,confirmed 2025 review,2024-12-20,2026
MAT-29185,Background Material,CID-0520,1023.36,,2026-06-25,2025
MAT-29186,Background Material,CID-0521,1903.93,legacy mapping,2025-05-12,2026
MAT-29187,Background Material,CID-0522,4414.18,confirmed 2025 review,2024-12-16,2025
MAT-29188,Background Material,CID-0523,4571.74,legacy mapping,2025-07-02,2026
MAT-29189,Background Material,CID-0524,4320.56,,2024-05-18,2026
